0,1,2,3
Assar Omar,Stumper Kay,4:1,1:0
Wang Chuqin,Gerassimenko Kirill,4:1,2:0
Alkhadrawi Ali,Lim Jonghoon,0:4,0:1
Uda Yukiya,Gnanasekaran Sathiyan,4:3,1:0
Wong Chun Ting,Lin Yun-Ju,4:2,2:2
Lin Gaoyuan,Alamiyan Noshad,2:4,1:1
Achanta Sharath Kamal,Chuang Chih-Yuan,1:4,2:1
Lee Sangsu,Tanviriyavechakul Padasak,4:0,1:0
Pang Yew En Koen,Harimoto Tomokazu,1:4,0:3
Wang Chuqin,Lim Jonghoon,3:4,1:1
Uda Yukiya,Wong Chun Ting,4:3,2:1
Alamiyan Noshad,Chuang Chih-Yuan,2:4,0:6
Lee Sangsu,Harimoto Tomokazu,1:4,1:4
Lim Jonghoon,Uda Yukiya,4:1,2:3
Chuang Chih-Yuan,Harimoto Tomokazu,1:4,3:4
Uda Yukiya,Chuang Chih-Yuan,2:4,0:2
Lim Jonghoon,Harimoto Tomokazu,1:4,2:2
Oyebode John,Lind Anders,1:3,0:1
Sgouropoulos Ioannis,Ban Ivor,3:1,1:0
Hachard Antoine,Lambiet Florent,3:0,7:0
Sipos Rares,Pletea Cristian,2:3,2:8
Zelinka Jakub,Huang Yan-Cheng,3:2,1:0
Wetzel Felix,Hamada Kazuki,0:3,0:1
Cvetko Tilen,Movileanu Darius,0:3,0:1
Rassenfosse Adrien,Kenzhigulov Aidos,3:1,1:0
Redzimski Milosz,Rolland Jules,1:3,0:1
Rembert Bastien,Haug Borgar,3:1,2:0
Piccolin Jordy,Glod Eric,2:3,0:1
Thakkar Manav Vikash,Putuntica Andrei,2:3,0:1
Chen Alexander,Mutti Matteo,1:3,0:1
Jain Payas,Rasmussen Tobias,2:3,0:1
Mladenovic Luka,Limonov Anton,3:2,1:0
Aldmaisy Zeyad,Szudi Adam,0:3,1:2
Gombos Ludovic,Levenko Andreas,0:3,0:1
Mengel Steffen,Mongiusti Mattias,3:0,1:0
Hribar Peter,Wykes Jordan,3:2,1:0
Martinko Jiri,Pinto Daniele,3:0,2:4
Grela Artur,Tao Wenzhang,3:1,1:0
Zhmudenko Yaroslav,Sinkevych Bohdan,3:0,1:0
Serdaroglu David,Helmy Mahmoud,3:0,1:0
Li Hon Ming,Giardi Federico,3:1,1:0
Ng Pak Nam,Ecseki Nandor,3:2,2:0
Ma Jinbao,Martinko Tomas,3:0,1:0
Naumi Alex,Bobocica Mihai,3:2,1:1
Konstantinopoulos Giorgos,Jin Takuya,0:3,0:1
Szocs Hunor,Godec Aljaz,3:1,1:0
Kenzhigulov Dastan,Kwan Man Ho,1:3,0:1
Alhourani Hasan,Park Ganghyeon,0:3,0:1
Pistej Lubomir,Stamatouros Georgios,3:2,1:0
Movileanu Darius,Meng Fanbo,0:3,0:1
Jin Takuya,Zeljko Filip,1:3,0:1
Majoros Bence,Hamada Kazuki,1:3,0:1
Gionis Panagiotis,Naumi Alex,3:0,1:0
Hachard Antoine,Nuytinck Cedric,1:3,1:2
Kwan Man Ho,Tanaka Yuta,0:3,0:1
Ort Kilian,Pletea Cristian,3:2,2:1
Lam Siu Hang,Ng Pak Nam,3:2,2:0
Bouloussa Mehdi,Glod Eric,3:2,1:0
Szocs Hunor,Habesohn Daniel,0:3,2:3
Lind Anders,Kulczycki Samuel,1:3,0:1
Stoyanov Niagol,Park Ganghyeon,0:3,0:1
Ma Jinbao,Akkuzu Can,1:3,0:1
Kubik Maciej,Pistej Lubomir,1:3,0:1
Stumper Kay,Zelinka Jakub,3:1,1:0
Li Hon Ming,Drinkhall Paul,2:3,0:1
Cho Seungmin,Rembert Bastien,3:1,1:0
Putuntica Andrei,Lebrun Felix,1:3,0:1
Desai Harmeet,Szudi Adam,3:1,1:0
Rolland Jules,Oikawa Mizuki,1:3,0:1
Rassenfosse Adrien,Walther Ricardo,2:3,0:1
Mengel Steffen,Walker Samuel,3:1,1:0
Zhmudenko Yaroslav,Polansky Tomas,3:2,1:0
Liao Cheng-Ting,Mladenovic Luka,3:0,1:0
Cho Daeseong,Sgouropoulos Ioannis,3:0,1:0
Martinko Jiri,Ho Kwan Kit,3:2,1:0
Feng Yi-Hsin,Martinko Jiri,3:2,1:1
Bouloussa Mehdi,Nuytinck Cedric,0:3,0:1
Hamada Kazuki,Meng Fanbo,3:2,1:0
Stumper Kay,Walther Ricardo,3:0,1:0
Allegro Martin,Rasmussen Tobias,3:1,3:1
Cho Daeseong,Lebrun Felix,2:3,0:1
Hribar Peter,Monteiro Joao,0:3,0:2
Ort Kilian,Kulczycki Samuel,2:3,0:1
Serdaroglu David,Ionescu Ovidiu,0:3,0:1
Cho Seungmin,Oikawa Mizuki,1:3,3:1
Jarvis Tom,Mutti Matteo,2:3,2:2
Liao Cheng-Ting,Mengel Steffen,0:3,0:2
Feng Yi-Hsin,Levenko Andreas,3:0,2:0
Angles Enzo,Grela Artur,2:3,0:1
Mutti Matteo,Drinkhall Paul,1:3,0:1
Allegro Martin,Monteiro Joao,1:3,0:2
Desai Harmeet,Ionescu Ovidiu,3:2,2:1
Grela Artur,Zhmudenko Yaroslav,1:3,0:1
Lebesson Emmanuel,Lim Jonghoon,1:3,0:2
Park Ganghyeon,Habesohn Daniel,3:1,1:0
Filus Ruwen,Robles Alvaro,3:0,2:0
Gionis Panagiotis,Zeljko Filip,3:1,2:0
Lam Siu Hang,Tanaka Yuta,2:3,0:2
Gardos Robert,Tanaka Yuta,1:3,1:1
Pistej Lubomir,Akkuzu Can,1:3,1:2
Pitchford Liam,Wang Yang,3:0,3:3
Duda Benedikt,Togami Shunsuke,3:2,1:0
Akkuzu Can,Drinkhall Paul,3:2,1:1
An Jaehyun,Pucar Tomislav,1:3,1:1
Freitas Marcos,Gerassimenko Kirill,2:3,0:1
Hamada Kazuki,Gacina Andrej,2:3,0:1
Feng Yi-Hsin,Monteiro Joao,3:2,2:0
Feng Yi-Hsin,Gauzy Simon,3:2,1:0
Tanaka Yuta,Gionis Panagiotis,3:1,1:0
Oikawa Mizuki,Lebrun Felix,3:1,1:0
Jorgic Darko,Apolonia Tiago,3:1,2:0
Mengel Steffen,Drinkhall Paul,2:3,0:1
Kulczycki Samuel,Hamada Kazuki,0:3,0:1
Akkuzu Can,Park Ganghyeon,3:1,1:1
Gnanasekaran Sathiyan,Oikawa Mizuki,0:3,0:1
Zhmudenko Yaroslav,Desai Harmeet,3:1,1:0
Kozul Deni,Chirita Iulian,2:3,0:1
Gastelum Pablo,Liang Jishan,0:4,0:1
Castillo Arocha Cesar Augusto,Britton Shemar,4:3,1:0
Maxwell Ramon,Riofrio Emiliano,0:4,0:1
Fernandez Carlos,Ly Edward,1:4,0:2
Campos Jorge,Farley Kevin,4:0,2:0
Olave Alfonso,Gomez Juan Jesus,4:3,1:0
Rios Romero Carlos Josue Alberto,Toranzos Alejandro,0:4,0:1
Araya Daniel,Vigo Rodrigo,1:4,0:1
Naranjo Angel,Wang Zexuan,4:2,1:0
Teodoro Guilherme,Martinez Livan,3:4,0:1
Riley Tre,Hidalgo Rodrigo,0:4,0:1
Cifuentes Horacio,Toranzos Alejandro,4:0,1:0
Liang Jishan,Gonzalez Daniel,4:0,2:0
Burgos Nicolas,Hidalgo Rodrigo,4:1,3:0
Gomez Rojas Eday,Arce Dario,4:0,1:0
Vigo Rodrigo,Afanador Brian,0:4,0:1
Alguetti Sharon,Lorenzo Santiago,3:4,0:2
Hazin Jeremy,Olave Alfonso,2:4,0:1
Ishiy Vitor,Riofrio Emiliano,4:0,3:0
Calderano Hugo,Kumar Nikhil,4:0,1:0
Alto Gaston,Gomez Gustavo,4:2,6:0
Mino Alberto,Castillo Arocha Cesar Augusto,4:0,1:0
Campos Jorge,Wang Eugene,3:4,0:2
Naranjo Angel,Jha Kanak,1:4,0:2
Jouti Eric,Moya Manuel,4:0,2:0
Martinez Livan,Madrid Marcos,3:4,0:2
Ly Edward,Aguirre Marcelo,0:4,0:1
Birriel Oscar,Gomez Rojas Eday,3:4,1:1
Montoya Alejandro,Gomez Gustavo,0:4,0:1
Knight Tyrese,Kumar Nikhil,0:4,0:2
Moya Manuel,Sanchi Francisco,4:3,1:0
Mino Alberto,Liang Jishan,4:2,2:0
Jouti Eric,Wang Eugene,1:4,0:1
Burgos Nicolas,Jha Kanak,1:4,1:5
Ishiy Vitor,Lorenzo Santiago,2:4,0:1
Calderano Hugo,Gomez Rojas Eday,4:0,1:0
Cifuentes Horacio,Madrid Marcos,4:0,1:1
Olave Alfonso,Afanador Brian,0:4,0:3
Alto Gaston,Aguirre Marcelo,1:4,2:3
Cifuentes Horacio,Jha Kanak,2:4,2:3
Mino Alberto,Wang Eugene,4:3,1:1
Calderano Hugo,Aguirre Marcelo,4:0,6:0
Lorenzo Santiago,Afanador Brian,4:0,1:0
Lorenzo Santiago,Jha Kanak,0:4,0:5
Calderano Hugo,Mino Alberto,4:1,5:1
Calderano Hugo,Jha Kanak,4:0,7:1
Harimoto Tomokazu,Franziska Patrick,3:0,7:0
Lin Yun-Ju,Aruna Quadri,3:1,3:0
Chuang Chih-Yuan,Ovtcharov Dimitrij,2:3,2:10
Lin Gaoyuan,Boll Timo,2:3,2:3
Jorgic Darko,Ma Long,1:3,0:2
Wang Chuqin,Qiu Dang,3:1,1:0
Calderano Hugo,Moregard Truls,1:3,0:1
Harimoto Tomokazu,Boll Timo,3:0,2:2
Fan Zhendong,Ovtcharov Dimitrij,2:3,5:3
Lin Yun-Ju,Ma Long,2:3,1:4
Wang Chuqin,Moregard Truls,3:0,5:0
Ovtcharov Dimitrij,Harimoto Tomokazu,0:4,5:5
Wang Chuqin,Ma Long,4:3,5:2
Harimoto Tomokazu,Wang Chuqin,2:4,2:5
Gerassimenko Kirill,Wang Yang,1:3,1:3
Pucar Tomislav,Chuang Chih-Yuan,3:2,2:0
Qiu Dang,Gnanasekaran Sathiyan,3:0,2:1
Moregard Truls,Pitchford Liam,3:2,2:0
Liang Jingkun,Lin Gaoyuan,3:2,5:2
Uda Yukiya,Ma Long,1:3,0:1
Lebrun Alexis,Jang Woojin,3:1,1:0
Calderano Hugo,Wang Chuqin,0:3,1:3
Karlsson Kristian,Jha Kanak,0:3,2:2
Aruna Quadri,Kallberg Anton,0:3,0:2
Franziska Patrick,Geraldo Joao,3:1,1:1
Freitas Marcos,Jorgic Darko,2:3,1:2
An Jaehyun,Ovtcharov Dimitrij,1:3,0:1
Falck Mattias,Harimoto Tomokazu,3:1,2:2
Fan Zhendong,Wong Chun Ting,3:0,4:0
Boll Timo,Lin Yun-Ju,2:3,1:2
Liang Jingkun,Lebrun Alexis,2:3,1:1
Kallberg Anton,Falck Mattias,1:3,1:3
Moregard Truls,Wang Yang,3:2,2:0
Pucar Tomislav,Lin Yun-Ju,2:3,0:3
Franziska Patrick,Jorgic Darko,2:3,2:2
Wang Chuqin,Ovtcharov Dimitrij,3:1,1:0
Fan Zhendong,Jha Kanak,3:1,2:0
Qiu Dang,Ma Long,2:3,0:3
Lebrun Alexis,Lin Yun-Ju,2:3,0:1
Fan Zhendong,Jorgic Darko,3:0,2:0
Moregard Truls,Falck Mattias,3:1,2:1
Wang Chuqin,Ma Long,3:2,5:2
Fan Zhendong,Lin Yun-Ju,4:2,6:1
Moregard Truls,Wang Chuqin,0:4,0:5
Fan Zhendong,Wang Chuqin,3:4,7:2
 Leon Dimitri,Leon David,1:4,0:1
Avila Diego,Morinigo Manuel,0:4,0:1
Vanegas Luis,Gonzalez Camilo,2:4,0:1
Burgos Nicolas,Apud Elias,4:0,1:0
Teodoro Guilherme,Olave Alfonso,4:1,1:0
Riofrio Emiliano,Morinigo Manuel,4:0,1:0
Duffoo Felipe,Lorenzo Santiago,0:4,1:4
Gomez Gustavo,Ramos Julian,4:0,1:0
Medina Blanco Raymundo Jose,Fernandez Carlos,3:4,0:2
Turrini Rafael,Franklin Christopher,4:0,1:0
Osorio Santiago,Alto Gaston,0:4,0:3
Aguirre Marcelo,Montes Santiago,4:2,1:0
Johnson Elishaba,Robalino Neycer,3:4,0:1
Ishida Carlos,Chock Gomez Jahir,4:0,1:0
Cifuentes Horacio,Gonzalez Camilo,4:0,1:0
Fernandez Fernando,Toranzos Alejandro,0:4,0:1
Rios Romero Carlos Josue Alberto,Mino Alberto,0:4,0:1
Britton Shemar,Leon David,4:0,1:0
Lizarazu Eduardo,Hidalgo Rodrigo,0:4,0:1
Cifuentes Horacio,Burgos Nicolas,4:3,3:0
Lorenzo Santiago,Alto Gaston,4:1,1:1
Lorenzo Santiago,Cifuentes Horacio,4:1,1:0
Aguirre Marcelo,Teodoro Guilherme,3:4,0:1
Riofrio Emiliano,Lorenzo Santiago,0:4,1:2
Turrini Rafael,Alto Gaston,0:4,0:1
Gomez Gustavo,Fernandez Carlos,4:2,1:0
Ishida Carlos,Toranzos Alejandro,4:2,1:0
Britton Shemar,Mino Alberto,0:4,0:2
Burgos Nicolas,Hidalgo Rodrigo,4:2,3:0
Cifuentes Horacio,Robalino Neycer,4:0,2:0
Teodoro Guilherme,Lorenzo Santiago,2:4,4:4
Gomez Gustavo,Alto Gaston,0:4,0:6
Burgos Nicolas,Mino Alberto,4:2,1:0
Cifuentes Horacio,Ishida Carlos,4:1,1:0
Istrate Andrei,Szantosi David,4:0,3:0
Szantosi David,Schweiger Tom,4:1,2:0
Ionescu Eduard,Berzosa Daniel,4:1,3:0
Ionescu Eduard,Delincak Filip,4:1,1:0
Delincak Filip,Berzosa Daniel,4:1,2:0
Andras Csaba,Pons Arnau,4:0,2:1
Promberger Jonas,Ursu Vladislav,1:4,0:1
Andras Csaba,Promberger Jonas,4:0,2:0
Pons Arnau,Ursu Vladislav,0:4,0:1
Andras Csaba,Ursu Vladislav,2:4,3:3
Promberger Jonas,Pons Arnau,3:4,0:1
Naumi Alex,Limonov Anton,3:4,1:2
Senkbeil Vincent,Radulovic Filip,4:1,1:0
Naumi Alex,Senkbeil Vincent,4:0,1:0
Limonov Anton,Radulovic Filip,4:1,1:0
Naumi Alex,Radulovic Filip,4:0,1:0
Senkbeil Vincent,Limonov Anton,1:4,0:1
Stalzer Adam,Lei Balazs,2:4,0:1
Petek Borna,Grebeniuk Andrii,0:4,0:1
Stalzer Adam,Petek Borna,2:4,1:2
Lei Balazs,Grebeniuk Andrii,3:4,0:1
Stalzer Adam,Grebeniuk Andrii,1:4,1:3
Petek Borna,Lei Balazs,4:2,1:0
Kolodziejczyk Maciej,Degros Nicolas,4:1,3:0
Osiro Pedro,Arpas Samuel,1:4,0:1
Kolodziejczyk Maciej,Osiro Pedro,4:0,2:0
Degros Nicolas,Arpas Samuel,4:3,1:0
Kolodziejczyk Maciej,Arpas Samuel,4:1,1:0
Movileanu Darius,Ullmann Lleyton,4:2,4:0
Osiro Pedro,Degros Nicolas,4:2,1:0
Ursu Vladislav,Van Oost Kas,4:2,1:0
Klajber Adam,Giovannetti Tommaso,4:3,3:1
Movileanu Darius,Ursu Vladislav,4:3,1:0
Moravek Radim,Van Oost Kas,2:4,0:1
Ullmann Lleyton,Van Oost Kas,1:4,0:1
Klajber Adam,Moravek Radim,4:1,3:0
Movileanu Darius,Van Oost Kas,4:0,1:0
Giovannetti Tommaso,Van Oost Kas,4:1,1:0
Ursu Vladislav,Ullmann Lleyton,4:0,1:0
Klajber Adam,Van Oost Kas,0:4,0:2
Kulczycki Samuel,Oyebode John,4:2,3:1
Moravek Radim,Giovannetti Tommaso,1:4,1:2
Ionescu Eduard,Naumi Alex,4:3,1:0
Puppo Andrea,Dillon Adrian,4:2,1:0
Kulczycki Samuel,Ionescu Eduard,2:4,2:1
Moullet Barish,Gomes Goncalo,4:1,2:0
Oyebode John,Naumi Alex,4:1,1:1
Puppo Andrea,Moullet Barish,4:0,1:0
Kulczycki Samuel,Naumi Alex,4:1,3:1
Dillon Adrian,Gomes Goncalo,3:4,0:1
Ionescu Eduard,Oyebode John,4:0,2:1
Puppo Andrea,Gomes Goncalo,4:1,1:1
Picard Vincent,Redzimski Milosz,3:4,0:1
Moullet Barish,Dillon Adrian,4:1,1:0
Limonov Anton,Moullet Barish,4:1,2:0
Rossi Carlo,Kolasa Szymon,4:0,1:0
Picard Vincent,Limonov Anton,1:4,0:1
Haug Borgar,Nunez Miguel,4:3,1:2
Redzimski Milosz,Moullet Barish,4:2,1:0
Rossi Carlo,Haug Borgar,4:2,1:0
Picard Vincent,Moullet Barish,4:2,1:0
Kolasa Szymon,Nunez Miguel,1:4,0:1
Limonov Anton,Redzimski Milosz,0:4,0:1
Rossi Carlo,Nunez Miguel,4:0,1:0
Ban Ivor,Rossi Carlo,4:1,1:1
Haug Borgar,Kolasa Szymon,4:2,1:0
Grebeniuk Andrii,Szantosi David,1:4,0:1
Redzimski Milosz,Godec Aljaz,4:0,1:0
Ban Ivor,Grebeniuk Andrii,4:1,2:0
Valenta Jan,Lindso Daniel,4:0,1:0
Rossi Carlo,Szantosi David,4:1,1:0
Redzimski Milosz,Valenta Jan,4:2,1:0
Ban Ivor,Szantosi David,4:0,1:0
Godec Aljaz,Lindso Daniel,4:1,1:0
Grebeniuk Andrii,Rossi Carlo,4:3,1:0
Redzimski Milosz,Lindso Daniel,4:0,1:0
Chirita Iulian,Valenta Jan,4:2,1:0
Valenta Jan,Godec Aljaz,4:0,1:0
Kolodziejczyk Maciej,Petek Borna,4:1,1:0
Belik Simon,Hardmeier Elias,3:4,1:2
Chirita Iulian,Kolodziejczyk Maciej,4:0,1:1
Bardet Lilian,Van Dessel Mael,4:1,1:0
Valenta Jan,Petek Borna,4:1,1:0
Belik Simon,Bardet Lilian,1:4,0:1
Chirita Iulian,Petek Borna,4:1,3:0
Hardmeier Elias,Van Dessel Mael,4:0,1:0
Kolodziejczyk Maciej,Valenta Jan,4:1,4:0
Belik Simon,Van Dessel Mael,4:0,3:0
Levajac Dimitrije,Haug Borgar,4:2,1:0
Bardet Lilian,Hardmeier Elias,4:0,2:0
Istrate Andrei,Andras Csaba,1:4,0:2
Oyebode John,Ullmann Lleyton,4:2,1:0
Levajac Dimitrije,Istrate Andrei,2:4,1:1
Scharrer Mauro,Tretiak Nazar,4:1,1:0
Haug Borgar,Andras Csaba,1:4,1:3
Oyebode John,Scharrer Mauro,4:3,1:0
Levajac Dimitrije,Andras Csaba,1:4,2:2
Ullmann Lleyton,Tretiak Nazar,2:4,0:1
Istrate Andrei,Haug Borgar,1:4,0:2
Oyebode John,Tretiak Nazar,4:2,1:0
Riofrio Emiliano,Alim Azzam,2:3,0:1
Alshareif Khalid,Liu Yebo,0:3,0:1
Almutairi Turki,Alsuwailem Salem,3:2,1:0
Yan Sheng,Alraisi Asad,3:0,1:0
Gombos Ludovic,Al Balushi Nasser Saif Nas,3:0,1:0
Bu Shulaybi Abdulaziz,Al Balushi Muhannad,3:0,1:0
Rolland Jules,Sai Linwei,0:3,0:1
Shams Hamid,Xu Haidong,0:3,0:1
Al Ghassani Ghassan,Lind Anders,0:3,0:1
Al Mutawa Mohammed,Desai Harmeet,0:3,0:1
Jin Takuya,Niu Guankai,1:3,0:1
Al-Samhoury Tarek,Saadawi Ahmed,3:1,1:0
Peng Wang-Wei,Alamian Nima,3:0,1:0
Thakkar Manav Vikash,Al Riyami Ahmed,3:0,1:0
Abdulwahhab Mohammed,Al Jassasi Bader,3:0,1:0
Liang Yanning,Alkhadrawi Ali,3:0,1:0
Alim Azzam,Hodaei Amir Hossein,0:3,0:1
Bu Shulaybi Abdulaziz,Meng Fanbo,0:3,0:1
Levenko Andreas,Yan Sheng,0:3,0:1
Stoyanov Niagol,Liu Yebo,1:3,0:1
Mino Alberto,Almutairi Turki,3:0,1:0
Gombos Ludovic,Alamiyan Noshad,0:3,0:1
Thakkar Manav Vikash,Liang Yanning,2:3,0:1
Sai Linwei,Desai Harmeet,2:3,0:1
Al-Samhoury Tarek,Meng Fanbo,1:3,0:1
Niu Guankai,Hodaei Amir Hossein,3:1,1:0
Liu Yebo,Lind Anders,3:0,1:0
Yan Sheng,Peng Wang-Wei,3:0,1:0
Mino Alberto,Xu Haidong,0:3,0:1
Abdulwahhab Mohammed,Alamiyan Noshad,0:3,0:1
Gardos Robert,Liu Yebo,2:3,0:1
Walther Ricardo,Jha Kanak,1:3,1:2
An Jaehyun,Yan Sheng,0:3,0:1
Jorgic Darko,Lebrun Felix,3:0,1:0
Cassin Alexandre,Jang Woojin,1:3,1:1
Wang Yang,Chuang Chih-Yuan,2:3,1:1
Lebrun Alexis,Groth Jonathan,3:0,1:0
Lim Jonghoon,Walther Ricardo,2:3,2:1
Liu Yebo,Lee Sangsu,3:0,1:0
Filus Ruwen,Jha Kanak,1:3,0:3
Alamiyan Noshad,Afanador Brian,3:1,2:0
Apolonia Tiago,Persson Jon,2:3,3:5
Duda Benedikt,Liang Yanning,1:3,0:1
Desai Harmeet,Lee Sangsu,0:3,0:2
Jha Kanak,Liu Yebo,3:2,1:0
Lebrun Alexis,Niu Guankai,3:1,1:0
Jorgic Darko,Jang Woojin,2:3,1:5
